"index","id","synop","name","state","country","elevation","network","online","county","climate_site","wfo","modified","spri","tzname","iemid","archive_begin","metasite","ugc_county","ugc_zone","ncdc81","ncei91","longitude","latitude","plot_name","archive_end","geometry"
18,"C99",,"Dakota Hills","CO","US",3319.951,"CO_ASOS",TRUE,"Gilpin","CO1186","BOU","2021-05-05T10:48:22Z",0,"America/Denver",256714,"2018-11-23T21:00:00Z",FALSE,"COC047","COZ212","USW00094075","USW00094075",-105.5533333333,39.8688888889,"Dakota Hills",,c(-105.5533333333, 39.8688888889)
19,"RCV",9999,"Del Norte","CO","US",2411.7869,"CO_ASOS",TRUE,"Rio Grande","CO2184","PUB","2021-05-05T10:48:22Z",0,"America/Denver",246549,"2014-11-06T14:50:00Z",FALSE,"COC105","COZ069","USC00052184","USC00052184",-106.352,37.7138,"Del Norte",,c(-106.352, 37.7138)
20,"AJZ",158,"Delta","CO","US",1572.5869,"CO_ASOS",TRUE,"Delta","CO5722","GJT","2021-05-05T10:48:22Z",0,"America/Denver",52706,"2012-02-10T14:15:00Z",FALSE,"COC029","COZ011","USC00052192","USC00052196",-108.0636111,38.7864167,"Delta",,c(-108.0636111, 38.7864167)
21,"APA",93067,"DENVER/CENTENNIAL","CO","US",1793,"CO_ASOS",TRUE,"Arapahoe","CO1401","BOU","2021-05-05T10:48:22Z",0,"America/Denver",21875,"1980-12-04T04:00:00Z",FALSE,"COC005","COZ040","USW00093067","USW00093067",-104.85,39.57,,,c(-104.85, 39.57)
22,"DEN",3017,"DENVER INTNL ARPT","CO","US",1656,"CO_ASOS",TRUE,"Denver","CO0950","BOU","2021-05-05T10:48:22Z",0,"America/Denver",9268,"1974-11-13T03:00:00Z",FALSE,"COC031","COZ040","USW00003017","USW00003017",-104.6575,39.8328,,,c(-104.6575, 39.8328)
23,"DRO",93005,"DURANGO/LA PLATA CO","CO","US",2038,"CO_ASOS",TRUE,"La Plata","CO8582","GJT","2021-05-05T10:48:22Z",0,"America/Denver",30296,"1973-01-01T01:00:00Z",FALSE,"COC067","COZ207","USW00093005","USW00093005",-107.75377,37.15152,,,c(-107.75377, 37.15152)
24,"EGE",23063,"EAGLE CO. REGIONAL","CO","US",1993,"CO_ASOS",TRUE,"Eagle","CO7618","GJT","2021-05-05T10:48:22Z",0,"America/Denver",34692,"1948-01-01T08:00:00Z",FALSE,"COC037","COZ203","USW00023063","USC00057618",-106.91769,39.64256,,,c(-106.91769, 39.64256)
25,"ABH",3068,"ELLICOTT-B AFA","CO","US",1840,"CO_ASOS",TRUE,"Pueblo","CO1778","PUB","2021-05-05T10:48:22Z",0,"America/Denver",9097,"2007-11-01T06:01:00Z",FALSE,"COC041","COZ085","USC00057287","USC00052668",-104.3083,38.7578,"ELLICOTT-B AFA  ",,c(-104.3083, 38.7578)
26,"EIK",161,"Erie","CO","US",1563.6,"CO_ASOS",TRUE,"Weld","CO5984","BOU","2021-05-05T10:48:22Z",0,"America/Denver",22663,"2010-03-04T16:15:00Z",FALSE,"COC123","COZ043","USC00055984","USC00055984",-105.047975,40.010225,"Erie",,c(-105.047975, 40.010225)
27,"FCS",94015,"FORT CARSON/BUTTS","CO","US",1789,"CO_ASOS",TRUE,"El Paso","CO1778","PUB","2021-05-05T10:48:22Z",0,"America/Denver",34693,"1966-09-15T14:00:00Z",FALSE,"COC041","COZ085","USW00093037","USW00093037",-104.75657,38.67839,,,c(-104.75657, 38.67839)
28,"FNL",94035,"FORT COLLINS (AWOS)","CO","US",1529,"CO_ASOS",TRUE,"Larimer","CO5236","BOU","2021-05-05T10:48:22Z",0,"America/Denver",22016,"1986-05-01T13:00:00Z",FALSE,"COC069","COZ038","USC00055236","USC00055236",-105.01134,40.45183,,,c(-105.01134, 40.45183)
29,"FMM",162,"Fort Morgan","CO","US",1376.0051,"CO_ASOS",TRUE,"Morgan","CO3038","BOU","2021-05-05T10:48:22Z",0,"America/Denver",54210,"2012-07-26T20:55:00Z",FALSE,"COC087","COZ044","USC00053038","USC00053038",-103.8041,40.334,"Fort Morgan",,c(-103.8041, 40.334)
30,"FTG",450,"Front Range","CO","US",1680.1,"CO_ASOS",TRUE,"Adams","COTDEN","BOU","2021-05-05T10:48:22Z",0,"America/Denver",22661,"2006-11-01T15:00:00Z",FALSE,"COC001","COZ040","USW00003017","USW00003017",-104.5431389,39.78525,"Front Range","2020-01-30T04:55:00Z",c(-104.5431389, 39.78525)
31,"GNB",,"Granby","CO","US",2501.8435,"CO_ASOS",TRUE,"Grand","CO3500","BOU","2021-05-05T10:48:22Z",0,"America/Denver",9145,"2018-02-07T13:50:00Z",FALSE,"COC049","COZ032","USC00053500","USC00053500",-105.9113,40.0904,"Granby",,c(-105.9113, 40.0904)
32,"GJT",23066,"GRAND JUNCTION","CO","US",1475,"CO_ASOS",TRUE,"Mesa","CO3488","GJT","2021-05-05T10:48:22Z",0,"America/Denver",34694,"1948-01-01T13:00:00Z",FALSE,"COC077","COZ203","USW00023066","USW00023066",-108.54,39.13417,,,c(-108.54, 39.13417)
33,"GXY",24051,"GREELEY/WELD (AWOS)","CO","US",1420,"CO_ASOS",TRUE,"Weld","CO3553","BOU","2021-05-05T10:48:22Z",0,"America/Denver",9494,"1988-01-05T15:00:00Z",FALSE,"COC123","COZ043","USC00053553","USC00053553",-104.63322,40.43742,,,c(-104.63322, 40.43742)
34,"GUC",93007,"GUNNISON CO. (AWOS)","CO","US",2339,"CO_ASOS",TRUE,"Gunnison","CO3662","GJT","2021-05-05T10:48:22Z",0,"America/Denver",21857,"1973-01-01T13:00:00Z",FALSE,"COC051","COZ014","USC00053662","USC00053662",-106.93303,38.53394,,,c(-106.93303, 38.53394)
35,"HDN",94025,"HAYDEN/YAMPA (AWOS)","CO","US",2012,"CO_ASOS",TRUE,"Routt","CO3867","GJT","2021-05-05T10:48:22Z",0,"America/Denver",21817,"1973-01-01T15:00:00Z",FALSE,"COC107","COZ002","USC00053867","USC00053867",-107.22,40.48,,,c(-107.22, 40.48)
36,"HEQ",163,"Holyoke","CO","US",1137,"CO_ASOS",TRUE,"Yuma","CO4082","BOU","2021-05-05T10:48:22Z",0,"America/Denver",21812,"1950-12-01T07:00:00Z",FALSE,"COC095","COZ251","USC00054082","USC00054082",-102.2727,40.5694,"Holyoke",,c(-102.2727, 40.5694)
37,"20V",94076,"KREMMLING","CO","US",2259,"CO_ASOS",TRUE,"Grand","CO9096","BOU","2021-05-05T10:48:22Z",0,"America/Denver",9390,"2003-09-01T06:12:00Z",FALSE,"COC049","COZ213","USC00054664","USC00054664",-106.36895,40.05368,,,c(-106.36895, 40.05368)
38,"LHX",23067,"LA JUNTA MUNICIPAL","CO","US",1292,"CO_ASOS",TRUE,"Otero","CO4720","PUB","2021-05-05T10:48:22Z",0,"America/Denver",30300,"1942-11-01T07:00:00Z",FALSE,"COC089","COZ093","USW00023067","USW00023067",-103.51222,38.04944,,,c(-103.51222, 38.04944)
39,"LAA",3013,"LAMAR","CO","US",1103,"CO_ASOS",TRUE,"Prowers","CO4770","PUB","2021-05-05T10:48:22Z",0,"America/Denver",22135,"1995-01-01T00:00:00Z",FALSE,"COC099","COZ236","USW00003013","USW00003013",-102.68806,38.07,,,c(-102.68806, 38.07)
40,"VTP",3042,"LA VETA PASS (CDOT)","CO","US",3114,"CO_ASOS",TRUE,"Costilla","CO8781","PUB","2021-05-05T10:48:22Z",0,"America/Denver",27340,"2001-09-01T06:20:00Z",FALSE,"COC055","COZ074","USC00057572","USC00057572",-105.16683,37.50066,,,c(-105.16683, 37.50066)
41,"LXV",93009,"LEADVILLE/LAKE CO.","CO","US",3026,"CO_ASOS",TRUE,"Gunnison","CO4885","PUB","2021-05-05T10:48:22Z",0,"America/Denver",34759,"1948-03-01T14:00:00Z",FALSE,"COC065","COZ059","USW00093009","USW00093009",-106.31611,39.22806,,,c(-106.31611, 39.22806)
